Rank,State,County,Republican Turnout,,"Rep Turnout Increase 
(2020-2016)","Republican
Votes 2020",Voting Age Pop 2020,,
,Pennsylvania,FRANKLIN COUNTY,41.9%,47.4%,5.5%," 57,245 "," 120,801 ",,
,Georgia,BURKE COUNTY,27.0%,32.4%,5.5%," 5,400 "," 16,641 ",,
,North Carolina,STANLY COUNTY,46.2%,51.7%,5.4%," 25,458 "," 49,282 ",,
,Georgia,LAURENS COUNTY,34.9%,40.4%,5.4%," 14,493 "," 35,914 ",,
,Georgia,GRADY COUNTY,32.6%,38.0%,5.4%," 7,034 "," 18,531 ",,
,North Carolina,BRUNSWICK COUNTY,40.5%,45.9%,5.4%," 55,850 "," 121,795 ",,
,Florida,GLADES COUNTY,26.6%,32.0%,5.4%," 3,782 "," 11,823 ",,
,Georgia,SEMINOLE COUNTY,35.4%,40.8%,5.4%," 2,611 "," 6,406 ",,
,North Carolina,GRANVILLE COUNTY,29.3%,34.6%,5.4%," 16,647 "," 48,058 ",,
,Ohio,MORROW COUNTY,45.0%,50.4%,5.4%," 13,784 "," 27,374 ",,
,Wisconsin,IOWA COUNTY,26.7%,32.1%,5.4%," 5,907 "," 18,396 ",,
,Wisconsin,LANGLADE COUNTY,42.1%,47.4%,5.4%," 7,330 "," 15,448 ",,
,Michigan,CRAWFORD COUNTY,38.9%,44.3%,5.4%," 5,087 "," 11,495 ",,
,Wisconsin,COLUMBIA COUNTY,31.9%,37.3%,5.3%," 16,925 "," 45,433 ",,
,North Carolina,ONSLOW COUNTY,25.5%,30.9%,5.3%," 46,078 "," 149,343 ",,
,Georgia,MARION COUNTY,29.0%,34.3%,5.3%," 2,275 "," 6,633 ",,
,Wisconsin,SHEBOYGAN COUNTY,36.4%,41.8%,5.3%," 37,624 "," 90,111 ",,
,Pennsylvania,WESTMORELAND COUNTY,40.4%,45.6%,5.3%," 130,209 "," 285,329 ",,
,Wisconsin,CLARK COUNTY,35.5%,40.8%,5.3%," 10,001 "," 24,534 ",,
,Pennsylvania,NORTHUMBERLAND COUNTY,34.4%,39.6%,5.3%," 28,952 "," 73,081 ",,
,Georgia,THOMAS COUNTY,32.9%,38.2%,5.3%," 12,954 "," 33,932 ",,
,Florida,COLLIER COUNTY,35.0%,40.3%,5.2%," 128,950 "," 320,147 ",,
,Georgia,COWETA COUNTY,40.4%,45.7%,5.2%," 51,501 "," 112,755 ",,
,North Carolina,PAMLICO COUNTY,39.7%,44.9%,5.2%," 4,849 "," 10,805 ",,
,Pennsylvania,WAYNE COUNTY,38.1%,43.3%,5.2%," 18,637 "," 42,996 ",,
,Florida,CHARLOTTE COUNTY,38.8%,44.0%,5.2%," 73,243 "," 166,579 ",,
,North Carolina,MCDOWELL COUNTY,40.9%,46.1%,5.2%," 16,883 "," 36,617 ",,
,North Carolina,AVERY COUNTY,42.7%,47.9%,5.2%," 7,172 "," 14,969 ",,
,Michigan,MACOMB COUNTY,32.9%,38.1%,5.2%," 263,863 "," 692,171 ",,
,Florida,OKEECHOBEE COUNTY,29.4%,34.5%,5.2%," 11,470 "," 33,207 ",,
,Georgia,GLYNN COUNTY,33.0%,38.2%,5.2%," 25,616 "," 67,065 ",,
,Ohio,HURON COUNTY,36.7%,41.9%,5.1%," 18,537 "," 44,289 ",,
,Florida,VOLUSIA COUNTY,32.9%,38.1%,5.1%," 173,821 "," 456,508 ",,
,North Carolina,JOHNSTON COUNTY,38.5%,43.7%,5.1%," 68,353 "," 156,585 ",,
,Wisconsin,JEFFERSON COUNTY,35.4%,40.5%,5.1%," 27,209 "," 67,128 ",,
,Ohio,HARRISON COUNTY,42.4%,47.5%,5.1%," 5,668 "," 11,932 ",,
,Wisconsin,JACKSON COUNTY,30.7%,35.9%,5.1%," 5,789 "," 16,147 ",,
,North Carolina,CARTERET COUNTY,47.1%,52.2%,5.1%," 30,028 "," 57,537 ",,
,North Carolina,GATES COUNTY,31.4%,36.5%,5.1%," 3,367 "," 9,230 ",,
,Wisconsin,FOND DU LAC COUNTY,38.8%,43.9%,5.1%," 35,754 "," 81,450 ",,
,Michigan,CHIPPEWA COUNTY,29.7%,34.8%,5.1%," 10,681 "," 30,704 ",,
,North Carolina,SAMPSON COUNTY,31.1%,36.2%,5.1%," 17,411 "," 48,081 ",,
,Ohio,MEDINA COUNTY,40.2%,45.3%,5.1%," 63,451 "," 140,169 ",,
,Ohio,PUTNAM COUNTY,59.1%,64.2%,5.1%," 16,218 "," 25,257 ",,
,Ohio,AUGLAIZE COUNTY,53.9%,58.9%,5.1%," 20,451 "," 34,708 ",,
,Georgia,COLQUITT COUNTY,29.7%,34.7%,5.1%," 11,777 "," 33,909 ",,
,Florida,ST. JOHNS COUNTY,48.4%,53.5%,5.1%," 110,946 "," 207,481 ",,
,Wisconsin,VERNON COUNTY,31.0%,36.0%,5.1%," 8,216 "," 22,811 ",,
,Ohio,FULTON COUNTY,42.6%,47.7%,5.0%," 15,396 "," 32,285 ",,
,Georgia,DODGE COUNTY,30.1%,35.1%,5.0%," 5,843 "," 16,643 ",,
,Georgia,WARE COUNTY,31.4%,36.5%,5.0%," 9,865 "," 27,062 ",,
,Georgia,WILCOX COUNTY,29.3%,34.3%,5.0%," 2,403 "," 6,998 ",,
,Wisconsin,WALWORTH COUNTY,35.8%,40.9%,5.0%," 33,844 "," 82,832 ",,
,Florida,MARTIN COUNTY,40.3%,45.3%,5.0%," 61,168 "," 134,916 ",,
,Wisconsin,OUTAGAMIE COUNTY,35.5%,40.5%,5.0%," 58,379 "," 144,062 ",,
,Ohio,ROSS COUNTY,30.9%,35.9%,5.0%," 21,687 "," 60,438 ",,
,Pennsylvania,BEAVER COUNTY,35.9%,40.9%,5.0%," 54,113 "," 132,398 ",,
,Wisconsin,WOOD COUNTY,37.5%,42.5%,5.0%," 24,306 "," 57,247 ",,
,Georgia,BROOKS COUNTY,30.2%,35.1%,5.0%," 4,260 "," 12,122 ",,
,Georgia,MILLER COUNTY,41.9%,46.8%,5.0%," 2,066 "," 4,410 ",,
,Florida,INDIAN RIVER COUNTY,38.7%,43.6%,5.0%," 58,872 "," 134,897 ",,
,Pennsylvania,INDIANA COUNTY,35.7%,40.7%,5.0%," 28,089 "," 69,004 ",,
,Florida,UNION COUNTY,37.0%,42.0%,5.0%," 5,133 "," 12,225 ",,
,Wisconsin,MARATHON COUNTY,37.6%,42.5%,5.0%," 44,623 "," 104,968 ",,
,Ohio,WYANDOT COUNTY,44.0%,48.9%,5.0%," 8,248 "," 16,867 ",,
,Georgia,COOK COUNTY,32.9%,37.8%,4.9%," 4,900 "," 12,946 ",,
,Wisconsin,SAUK COUNTY,30.2%,35.1%,4.9%," 17,489 "," 49,825 ",,
,Florida,GILCHRIST COUNTY,48.1%,53.0%,4.9%," 7,895 "," 14,885 ",,
,Pennsylvania,UNION COUNTY,28.5%,33.4%,4.9%," 12,356 "," 37,006 ",,
,Michigan,CHARLEVOIX COUNTY,41.3%,46.2%,4.9%," 9,841 "," 21,299 ",,
,North Carolina,SWAIN COUNTY,32.5%,37.4%,4.9%," 4,161 "," 11,137 ",,
,Ohio,HENRY COUNTY,44.6%,49.5%,4.9%," 10,273 "," 20,758 ",,
,North Carolina,GASTON COUNTY,37.0%,41.9%,4.9%," 73,033 "," 174,276 ",,
,North Carolina,SCOTLAND COUNTY,23.0%,27.9%,4.9%," 7,473 "," 26,793 ",,
,North Carolina,MACON COUNTY,43.7%,48.6%,4.9%," 14,211 "," 29,260 ",,
,North Carolina,BEAUFORT COUNTY,38.8%,43.6%,4.9%," 16,437 "," 37,669 ",,
,North Carolina,BLADEN COUNTY,32.2%,37.1%,4.9%," 9,676 "," 26,077 ",,
,Ohio,MERCER COUNTY,57.9%,62.7%,4.9%," 19,145 "," 30,520 ",,
,North Carolina,ROWAN COUNTY,39.7%,44.5%,4.9%," 49,297 "," 110,729 ",,
,Georgia,WHITFIELD COUNTY,28.1%,33.0%,4.9%," 25,636 "," 77,675 ",,
,North Carolina,RUTHERFORD COUNTY,41.8%,46.6%,4.8%," 24,891 "," 53,422 ",,
,Ohio,MEIGS COUNTY,40.3%,45.1%,4.8%," 8,163 "," 18,084 ",,
,Florida,JACKSON COUNTY,36.3%,41.1%,4.8%," 15,488 "," 37,647 ",,
,Georgia,LONG COUNTY,19.9%,24.8%,4.8%," 3,528 "," 14,239 ",,
,Pennsylvania,SCHUYLKILL COUNTY,38.2%,43.0%,4.8%," 48,868 "," 113,561 ",,
,Wisconsin,ONEIDA COUNTY,41.5%,46.3%,4.8%," 13,671 "," 29,526 ",,
,Ohio,CRAWFORD COUNTY,41.4%,46.3%,4.8%," 15,043 "," 32,520 ",,
,Ohio,SANDUSKY COUNTY,35.8%,40.6%,4.8%," 18,487 "," 45,583 ",,
,North Carolina,ANSON COUNTY,22.3%,27.1%,4.8%," 5,321 "," 19,608 ",,
,Georgia,WILKINSON COUNTY,33.6%,38.4%,4.8%," 2,664 "," 6,934 ",,
,Georgia,WEBSTER COUNTY,30.4%,35.2%,4.8%, 748 ," 2,124 ",,
,Ohio,PIKE COUNTY,36.9%,41.7%,4.8%," 8,872 "," 21,286 ",,
,North Carolina,CLAY COUNTY,49.9%,54.7%,4.8%," 5,112 "," 9,352 ",,
,Wisconsin,GREEN COUNTY,30.5%,35.3%,4.8%," 10,165 "," 28,803 ",,
,North Carolina,PASQUOTANK COUNTY,26.7%,31.4%,4.7%," 9,770 "," 31,068 ",,
,Georgia,TATTNALL COUNTY,25.3%,30.1%,4.7%," 6,053 "," 20,127 ",,
,Georgia,IRWIN COUNTY,37.3%,42.0%,4.7%," 3,134 "," 7,458 ",,
,North Carolina,UNION COUNTY,40.8%,45.5%,4.7%," 80,382 "," 176,616 ",,
,Pennsylvania,LANCASTER COUNTY,33.6%,38.3%,4.7%," 160,209 "," 417,849 ",,
,Ohio,COLUMBIANA COUNTY,38.5%,43.2%,4.7%," 35,124 "," 81,291 ",,
,Florida,HERNANDO COUNTY,39.7%,44.4%,4.7%," 70,412 "," 158,562 ",,
,Wisconsin,RACINE COUNTY,31.3%,36.0%,4.7%," 54,475 "," 151,411 ",,
,Michigan,ISABELLA COUNTY,21.0%,25.7%,4.7%," 14,815 "," 57,748 ",,
,Florida,MARION COUNTY,38.2%,42.9%,4.7%," 127,826 "," 298,065 ",,
,Georgia,WORTH COUNTY,38.6%,43.3%,4.7%," 6,830 "," 15,787 ",,
,Ohio,HOCKING COUNTY,38.5%,43.2%,4.7%," 9,554 "," 22,123 ",,
,Florida,COLUMBIA COUNTY,37.7%,42.4%,4.6%," 23,836 "," 56,246 ",,
,Ohio,ADAMS COUNTY,41.1%,45.8%,4.6%," 9,660 "," 21,111 ",,
,Pennsylvania,YORK COUNTY,37.3%,41.9%,4.6%," 146,728 "," 350,349 ",,
,Florida,BAKER COUNTY,48.9%,53.6%,4.6%," 11,911 "," 22,239 ",,
,Pennsylvania,LEBANON COUNTY,38.0%,42.6%,4.6%," 46,731 "," 109,639 ",,
,Ohio,MUSKINGUM COUNTY,36.3%,40.9%,4.6%," 27,334 "," 66,777 ",,
,North Carolina,CHATHAM COUNTY,30.9%,35.5%,4.6%," 21,186 "," 59,661 ",,
,Michigan,GENESEE COUNTY,26.7%,31.3%,4.6%," 98,714 "," 315,340 ",,
,Ohio,WILLIAMS COUNTY,42.0%,46.6%,4.6%," 13,218 "," 28,386 ",,
,Georgia,LEE COUNTY,49.7%,54.3%,4.5%," 12,007 "," 22,122 ",,
,Ohio,MORGAN COUNTY,38.3%,42.8%,4.5%," 4,932 "," 11,521 ",,
,Wisconsin,VILAS COUNTY,45.7%,50.2%,4.5%," 9,261 "," 18,449 ",,
,Georgia,HANCOCK COUNTY,11.6%,16.2%,4.5%," 1,159 "," 7,175 ",,
,Ohio,KNOX COUNTY,40.7%,45.3%,4.5%," 21,825 "," 48,217 ",,
,Arizona,COCONINO COUNTY,19.1%,23.6%,4.5%," 27,052 "," 114,726 ",,
,Florida,SARASOTA COUNTY,35.3%,39.8%,4.5%," 148,370 "," 372,818 ",,
,Ohio,OTTAWA COUNTY,38.5%,43.0%,4.5%," 14,285 "," 33,194 ",,
,Wisconsin,ASHLAND COUNTY,27.2%,31.7%,4.5%," 3,845 "," 12,135 ",,
,Florida,HENDRY COUNTY,21.2%,25.7%,4.5%," 7,906 "," 30,800 ",,
,Georgia,MCDUFFIE COUNTY,34.0%,38.5%,4.5%," 6,169 "," 16,012 ",,
,Georgia,JOHNSON COUNTY,31.9%,36.4%,4.5%," 2,850 "," 7,827 ",,
,Georgia,JEFF DAVIS COUNTY,37.5%,42.0%,4.5%," 4,695 "," 11,177 ",,
,Florida,SUMTER COUNTY,46.5%,51.0%,4.5%," 62,761 "," 123,025 ",,
,North Carolina,LEE COUNTY,30.5%,34.9%,4.5%," 16,469 "," 47,136 ",,
,Florida,HIGHLANDS COUNTY,35.0%,39.5%,4.5%," 34,873 "," 88,350 ",,
,Ohio,WAYNE COUNTY,36.6%,41.1%,4.5%," 36,059 "," 87,730 ",,
,Georgia,JEFFERSON COUNTY,25.5%,30.0%,4.5%," 3,537 "," 11,799 ",,
,Wisconsin,DOOR COUNTY,37.6%,42.1%,4.4%," 9,752 "," 23,171 ",,
,Florida,PUTNAM COUNTY,39.0%,43.4%,4.4%," 25,514 "," 58,753 ",,
,North Carolina,CHOWAN COUNTY,35.6%,40.0%,4.4%," 4,471 "," 11,164 ",,
,Ohio,COSHOCTON COUNTY,38.6%,43.0%,4.4%," 11,982 "," 27,865 ",,
,Ohio,CHAMPAIGN COUNTY,42.2%,46.6%,4.4%," 14,086 "," 30,220 ",,
,Ohio,BROWN COUNTY,43.5%,47.9%,4.4%," 16,032 "," 33,493 ",,
,Ohio,BELMONT COUNTY,38.0%,42.5%,4.4%," 23,110 "," 54,437 ",,
,Florida,BAY COUNTY,43.3%,47.6%,4.4%," 66,097 "," 138,722 ",,
,Wisconsin,WAUKESHA COUNTY,45.8%,50.2%,4.4%," 159,633 "," 318,146 ",,
,Michigan,CLINTON COUNTY,36.1%,40.5%,4.4%," 25,098 "," 62,005 ",,
,Michigan,CALHOUN COUNTY,30.5%,34.9%,4.4%," 36,221 "," 103,798 ",,
,Michigan,EMMET COUNTY,40.3%,44.7%,4.4%," 12,135 "," 27,161 ",,
,Ohio,SENECA COUNTY,34.4%,38.7%,4.4%," 16,739 "," 43,203 ",,
,Ohio,VAN WERT COUNTY,48.5%,52.8%,4.4%," 11,470 "," 21,715 ",,
,Florida,HARDEE COUNTY,26.1%,30.5%,4.4%," 6,122 "," 20,079 ",,
,Wisconsin,GRANT COUNTY,29.9%,34.3%,4.4%," 13,981 "," 40,789 ",,
,Pennsylvania,NORTHAMPTON COUNTY,29.8%,34.2%,4.4%," 83,796 "," 245,070 ",,
,Georgia,WARREN COUNTY,23.5%,27.8%,4.3%," 1,166 "," 4,196 ",,
,Ohio,DARKE COUNTY,50.9%,55.3%,4.3%," 21,569 "," 39,034 ",,
,Florida,LAKE COUNTY,38.0%,42.3%,4.3%," 125,859 "," 297,740 ",,
,North Carolina,RICHMOND COUNTY,30.0%,34.3%,4.3%," 11,830 "," 34,516 ",,
,Florida,PALM BEACH COUNTY,23.3%,27.6%,4.3%," 334,711 "," 1,212,991 ",,
,Wisconsin,SAWYER COUNTY,39.7%,44.0%,4.3%," 5,883 "," 13,383 ",,
,North Carolina,MARTIN COUNTY,32.2%,36.5%,4.3%," 6,532 "," 17,917 ",,
,Florida,WASHINGTON COUNTY,44.1%,48.4%,4.3%," 9,876 "," 20,398 ",,
,Georgia,MITCHELL COUNTY,24.8%,29.1%,4.3%," 4,935 "," 16,956 ",,
,Wisconsin,OZAUKEE COUNTY,44.0%,48.3%,4.3%," 33,912 "," 70,271 ",,
,Florida,MANATEE COUNTY,33.5%,37.8%,4.3%," 124,987 "," 330,760 ",,
,Florida,BROWARD COUNTY,17.4%,21.6%,4.3%," 333,409 "," 1,542,553 ",,
,Ohio,UNION COUNTY,43.4%,47.7%,4.2%," 21,233 "," 44,532 ",,
,Georgia,PAULDING COUNTY,39.4%,43.6%,4.2%," 54,525 "," 125,010 ",,
,Georgia,TROUP COUNTY,30.0%,34.3%,4.2%," 18,143 "," 52,959 ",,
,Florida,LEE COUNTY,32.4%,36.6%,4.2%," 233,247 "," 637,068 ",,
,Florida,SANTA ROSA COUNTY,49.5%,53.7%,4.2%," 77,385 "," 144,119 ",,
,Ohio,GEAUGA COUNTY,42.1%,46.3%,4.2%," 33,581 "," 72,542 ",,
,Pennsylvania,BUCKS COUNTY,33.2%,37.4%,4.2%," 187,367 "," 501,426 ",,
,Ohio,NOBLE COUNTY,38.6%,42.8%,4.2%," 5,024 "," 11,732 ",,
,North Carolina,POLK COUNTY,39.8%,44.0%,4.2%," 7,689 "," 17,478 ",,
,Michigan,EATON COUNTY,32.2%,36.3%,4.2%," 31,798 "," 87,545 ",,
,Georgia,LIBERTY COUNTY,13.9%,18.1%,4.2%," 7,959 "," 44,034 ",,
,Georgia,PULASKI COUNTY,26.6%,30.7%,4.2%," 2,805 "," 9,128 ",,
,Georgia,PEACH COUNTY,25.7%,29.8%,4.1%," 6,502 "," 21,821 ",,
,North Carolina,JONES COUNTY,38.5%,42.6%,4.1%," 3,280 "," 7,704 ",,
,Florida,MADISON COUNTY,32.9%,37.0%,4.1%," 5,576 "," 15,088 ",,
,Michigan,OTTAWA COUNTY,41.2%,45.3%,4.1%," 100,913 "," 222,551 ",,
,Ohio,RICHLAND COUNTY,38.6%,42.6%,4.1%," 40,534 "," 95,049 ",,
,Ohio,HARDIN COUNTY,36.2%,40.3%,4.1%," 9,698 "," 24,089 ",,
,Georgia,TURNER COUNTY,34.9%,39.0%,4.1%," 2,349 "," 6,029 ",,
,Michigan,BERRIEN COUNTY,32.1%,36.2%,4.0%," 43,519 "," 120,265 ",,
,Florida,ST. LUCIE COUNTY,28.8%,32.9%,4.0%," 86,831 "," 264,186 ",,
,Pennsylvania,MONTOUR COUNTY,36.3%,40.4%,4.0%," 5,844 "," 14,482 ",,
,Georgia,TREUTLEN COUNTY,35.4%,39.4%,4.0%," 2,101 "," 5,329 ",,
,Arizona,PIMA COUNTY,21.0%,25.0%,4.0%," 207,758 "," 831,972 ",,
,Ohio,ASHTABULA COUNTY,30.6%,34.6%,4.0%," 26,225 "," 75,893 ",,
,Georgia,LOWNDES COUNTY,24.9%,28.8%,4.0%," 25,691 "," 89,086 ",,
,North Carolina,CRAVEN COUNTY,34.6%,38.6%,4.0%," 31,032 "," 80,387 ",,
,Georgia,TALBOT COUNTY,22.9%,26.8%,3.9%," 1,392 "," 5,186 ",,
,Florida,POLK COUNTY,30.5%,34.4%,3.9%," 194,586 "," 565,542 ",,
,Wisconsin,ROCK COUNTY,25.6%,29.5%,3.9%," 37,133 "," 125,952 ",,
,Georgia,CLAY COUNTY,24.0%,27.9%,3.9%, 637 ," 2,287 ",,
,Florida,FRANKLIN COUNTY,41.7%,45.6%,3.9%," 4,675 "," 10,258 ",,
,Florida,HILLSBOROUGH COUNTY,24.7%,28.6%,3.8%," 327,398 "," 1,146,730 ",,
,Ohio,TUSCARAWAS COUNTY,37.8%,41.6%,3.8%," 29,519 "," 70,996 ",,
,Georgia,DECATUR COUNTY,30.0%,33.8%,3.8%," 6,758 "," 19,996 ",,
,Georgia,JENKINS COUNTY,27.2%,31.1%,3.8%," 2,161 "," 6,959 ",,
,Georgia,HOUSTON COUNTY,31.5%,35.3%,3.8%," 41,534 "," 117,543 ",,
,Michigan,SAGINAW COUNTY,30.1%,33.9%,3.8%," 50,785 "," 149,676 ",,
,Ohio,LOGAN COUNTY,46.4%,50.2%,3.8%," 17,625 "," 35,139 ",,
,Ohio,PREBLE COUNTY,48.7%,52.5%,3.8%," 16,697 "," 31,799 ",,
,Florida,PINELLAS COUNTY,29.9%,33.7%,3.8%," 276,209 "," 819,951 ",,
,Georgia,TIFT COUNTY,31.5%,35.2%,3.8%," 10,784 "," 30,600 ",,
,Ohio,MADISON COUNTY,33.9%,37.7%,3.8%," 13,445 "," 35,669 ",,
,Florida,BRADFORD COUNTY,41.7%,45.5%,3.7%," 10,334 "," 22,730 ",,
,Pennsylvania,COLUMBIA COUNTY,33.1%,36.9%,3.7%," 19,752 "," 53,571 ",,
,Wisconsin,DUNN COUNTY,32.4%,36.1%,3.7%," 13,176 "," 36,503 ",,
,Florida,DESOTO COUNTY,23.3%,26.9%,3.7%," 8,313 "," 30,849 ",,
,Florida,LIBERTY COUNTY,37.6%,41.2%,3.7%," 2,846 "," 6,902 ",,
,Pennsylvania,ERIE COUNTY,27.8%,31.4%,3.7%," 66,869 "," 212,712 ",,
,Ohio,LICKING COUNTY,38.9%,42.6%,3.7%," 57,965 "," 136,224 ",,
,Ohio,ERIE COUNTY,33.0%,36.6%,3.6%," 21,724 "," 59,282 ",,
,Wisconsin,BAYFIELD COUNTY,33.5%,37.1%,3.6%," 4,617 "," 12,431 ",,
,Ohio,PORTAGE COUNTY,30.4%,34.0%,3.6%," 45,034 "," 132,407 ",,
,North Carolina,ALAMANCE COUNTY,31.2%,34.9%,3.6%," 46,056 "," 132,145 ",,
,Wisconsin,DOUGLAS COUNTY,27.9%,31.5%,3.6%," 10,919 "," 34,706 ",,
,Ohio,HIGHLAND COUNTY,43.0%,46.6%,3.6%," 15,369 "," 32,974 ",,
,Ohio,JACKSON COUNTY,40.2%,43.8%,3.6%," 10,804 "," 24,669 ",,
,Ohio,STARK COUNTY,33.7%,37.2%,3.6%," 108,610 "," 291,682 ",,
,Ohio,LORAIN COUNTY,28.1%,31.7%,3.6%," 76,719 "," 242,329 ",,
,Ohio,LAKE COUNTY,35.2%,38.8%,3.6%," 71,615 "," 184,715 ",,
,Florida,ORANGE COUNTY,19.0%,22.6%,3.6%," 245,398 "," 1,087,498 ",,
,North Carolina,WAYNE COUNTY,29.1%,32.7%,3.5%," 30,709 "," 94,031 ",,
,Georgia,BEN HILL COUNTY,29.1%,32.6%,3.5%," 4,110 "," 12,605 ",,
,Ohio,DEFIANCE COUNTY,39.9%,43.4%,3.5%," 12,778 "," 29,447 ",,
,North Carolina,DUPLIN COUNTY,27.3%,30.8%,3.5%," 13,793 "," 44,760 ",,
,Georgia,BULLOCH COUNTY,25.3%,28.8%,3.5%," 18,386 "," 63,851 ",,
,Georgia,SPALDING COUNTY,31.9%,35.4%,3.5%," 18,057 "," 51,061 ",,
,Florida,BREVARD COUNTY,38.7%,42.2%,3.5%," 207,883 "," 492,787 ",,
,Florida,JEFFERSON COUNTY,34.2%,37.7%,3.5%," 4,479 "," 11,888 ",,
,Ohio,SHELBY COUNTY,51.1%,54.6%,3.5%," 19,988 "," 36,627 ",,
,Pennsylvania,BERKS COUNTY,30.0%,33.5%,3.4%," 109,727 "," 327,744 ",,
,Michigan,GRAND TRAVERSE COUNTY,37.5%,40.9%,3.4%," 30,502 "," 74,544 ",,
,Georgia,FORSYTH COUNTY,44.2%,47.7%,3.4%," 85,122 "," 178,574 ",,
,Ohio,TRUMBULL COUNTY,30.7%,34.1%,3.4%," 53,756 "," 157,776 ",,
,North Carolina,HALIFAX COUNTY,22.2%,25.6%,3.4%," 10,080 "," 39,391 ",,
,North Carolina,WASHINGTON COUNTY,26.6%,30.0%,3.4%," 2,781 "," 9,274 ",,
,Wisconsin,BROWN COUNTY,34.1%,37.5%,3.4%," 75,865 "," 202,324 ",,
,Florida,HOLMES COUNTY,48.3%,51.7%,3.4%," 8,080 "," 15,624 ",,
,North Carolina,WARREN COUNTY,19.8%,23.2%,3.3%," 3,752 "," 16,200 ",,
,Wisconsin,PIERCE COUNTY,34.4%,37.8%,3.3%," 12,813 "," 33,941 ",,
,Pennsylvania,FOREST COUNTY,25.8%,29.1%,3.3%," 1,882 "," 6,468 ",,
,North Carolina,CUMBERLAND COUNTY,20.4%,23.8%,3.3%," 60,032 "," 252,655 ",,
,Georgia,COLUMBIA COUNTY,39.3%,42.6%,3.3%," 50,013 "," 117,374 ",,
,Ohio,ASHLAND COUNTY,42.4%,45.7%,3.3%," 19,002 "," 41,579 ",,
,Georgia,RANDOLPH COUNTY,22.5%,25.8%,3.3%," 1,391 "," 5,401 ",,
,Georgia,BALDWIN COUNTY,21.1%,24.3%,3.3%," 8,903 "," 36,602 ",,
,Ohio,CLINTON COUNTY,43.2%,46.5%,3.3%," 15,061 "," 32,414 ",,
,Pennsylvania,LUZERNE COUNTY,30.9%,34.1%,3.3%," 86,929 "," 254,741 ",,
,Ohio,MARION COUNTY,32.8%,36.0%,3.2%," 18,526 "," 51,391 ",,
,Ohio,PAULDING COUNTY,45.2%,48.5%,3.2%," 6,927 "," 14,294 ",,
,Michigan,OAKLAND COUNTY,29.5%,32.7%,3.2%," 325,971 "," 997,704 ",,
,Ohio,FAIRFIELD COUNTY,38.2%,41.5%,3.2%," 49,714 "," 119,925 ",,
,Pennsylvania,LEHIGH COUNTY,26.3%,29.5%,3.2%," 84,418 "," 286,192 ",,
,North Carolina,HOKE COUNTY,20.3%,23.5%,3.2%," 9,453 "," 40,282 ",,
,Pennsylvania,CUMBERLAND COUNTY,35.0%,38.2%,3.2%," 77,212 "," 202,103 ",,
,Wisconsin,PORTAGE COUNTY,30.5%,33.7%,3.2%," 19,298 "," 57,314 ",,
,Georgia,MCINTOSH COUNTY,30.0%,33.2%,3.1%," 4,016 "," 12,111 ",,
,North Carolina,CABARRUS COUNTY,36.1%,39.2%,3.1%," 63,237 "," 161,462 ",,
,Ohio,WASHINGTON COUNTY,42.3%,45.3%,3.1%," 21,798 "," 48,083 ",,
,Ohio,MIAMI COUNTY,46.1%,49.2%,3.1%," 40,531 "," 82,435 ",,
,Pennsylvania,MONTGOMERY COUNTY,25.4%,28.4%,3.0%," 185,460 "," 652,435 ",,
,Georgia,WILKES COUNTY,33.5%,36.5%,3.0%," 2,823 "," 7,735 ",,
,North Carolina,NASH COUNTY,32.0%,35.0%,3.0%," 25,827 "," 73,765 ",,
,Ohio,JEFFERSON COUNTY,39.2%,42.2%,3.0%," 22,309 "," 52,808 ",,
,North Carolina,JACKSON COUNTY,27.9%,30.9%,3.0%," 11,356 "," 36,721 ",,
,Florida,SEMINOLE COUNTY,30.5%,33.5%,3.0%," 125,241 "," 373,628 ",,
,North Carolina,VANCE COUNTY,21.6%,24.6%,3.0%," 8,391 "," 34,092 ",,
,North Carolina,NORTHAMPTON COUNTY,21.7%,24.7%,3.0%," 3,989 "," 16,132 ",,
,Georgia,CHATHAM COUNTY,20.3%,23.2%,3.0%," 53,237 "," 229,084 ",,
,Michigan,LEELANAU COUNTY,40.4%,43.3%,3.0%," 7,916 "," 18,267 ",,
,Georgia,CRISP COUNTY,26.3%,29.3%,3.0%," 4,987 "," 17,021 ",,
,Georgia,TERRELL COUNTY,27.6%,30.5%,2.9%," 2,004 "," 6,568 ",,
,North Carolina,EDGECOMBE COUNTY,20.1%,23.1%,2.9%," 9,206 "," 39,904 ",,
,Georgia,WASHINGTON COUNTY,26.3%,29.2%,2.9%," 4,663 "," 15,977 ",,
,Georgia,WHEELER COUNTY,21.4%,24.3%,2.9%," 1,583 "," 6,524 ",,
,Georgia,CHARLTON COUNTY,28.4%,31.3%,2.9%," 3,419 "," 10,935 ",,
,North Carolina,WILSON COUNTY,28.1%,31.0%,2.9%," 19,581 "," 63,224 ",,
,North Carolina,LENOIR COUNTY,30.7%,33.6%,2.9%," 14,590 "," 43,423 ",,
,Florida,HAMILTON COUNTY,29.8%,32.7%,2.9%," 3,815 "," 11,684 ",,
,Ohio,LAWRENCE COUNTY,39.5%,42.4%,2.8%," 19,759 "," 46,614 ",,
,Michigan,MARQUETTE COUNTY,26.9%,29.7%,2.8%," 16,286 "," 54,805 ",,
,Ohio,CLARK COUNTY,33.9%,36.7%,2.8%," 38,217 "," 104,183 ",,
