state,county,year,total,dem,gop,AGE18PLUS_TOT,repturnout,demturnout,turnout,winner
Florida,FRANKLIN COUNTY,2012,5474,1845,3570,9669,0.3692212224635433,0.19081600992863793,0.566139207777433,red
Florida,FRANKLIN COUNTY,2016,6015,1744,4125,9894,0.4169193450576107,0.17626844552253892,0.6079442086112795,red
Florida,FRANKLIN COUNTY,2020,6849,2120,4675,10258,0.4557418600116982,0.2066679664651979,0.6676740105283681,red
Florida,GADSDEN COUNTY,2012,22499,15770,6630,35905,0.18465394791811726,0.4392145940676786,0.6266258181311795,blue
Florida,GADSDEN COUNTY,2016,22113,15020,6728,35965,0.18707076324204086,0.41762824968719586,0.6148477686639788,blue
Florida,GADSDEN COUNTY,2020,23762,16153,7465,35804,0.20849625740140768,0.4511507094179421,0.663668863814099,blue
Florida,GILCHRIST COUNTY,2012,7909,1885,5917,13365,0.4427235316124205,0.14104002992891881,0.5917695473251029,red
Florida,GILCHRIST COUNTY,2016,8420,1458,6740,14010,0.48108493932905066,0.10406852248394004,0.6009992862241256,red
Florida,GILCHRIST COUNTY,2020,9685,1700,7895,14885,0.5303997312730937,0.11420893516963386,0.6506550218340611,red
Florida,GLADES COUNTY,2012,3989,1603,2344,10393,0.22553641874338498,0.15423842971230636,0.3838160300202059,red
Florida,GLADES COUNTY,2016,4353,1271,2996,11267,0.26590929262447854,0.11280731339309488,0.3863495162865004,red
Florida,GLADES COUNTY,2020,5193,1385,3782,11823,0.3198849699737799,0.1171445487608898,0.4392286221771124,red
Florida,GULF COUNTY,2012,7108,2014,4995,13307,0.37536634853836326,0.15134891410535808,0.5341549560381754,red
Florida,GULF COUNTY,2016,7293,1720,5329,13585,0.3922708870077291,0.12661023187338977,0.5368421052631579,red
Florida,GULF COUNTY,2020,8163,1985,6113,11147,0.5483986722885081,0.17807481833677222,0.7323046559612452,red
Florida,HAMILTON COUNTY,2012,5407,2228,3138,11930,0.2630343671416597,0.186756077116513,0.4532271584241408,red
Florida,HAMILTON COUNTY,2016,5460,1904,3443,11558,0.29788890811559093,0.16473438311126493,0.47240006921612737,red
Florida,HAMILTON COUNTY,2020,5830,1963,3815,11684,0.3265148921602191,0.16800753166723725,0.49897295446764806,red
Florida,HARDEE COUNTY,2012,7226,2463,4696,19934,0.23557740543794523,0.12355774054379452,0.36249623758402727,red
Florida,HARDEE COUNTY,2016,7583,2149,5242,20066,0.26123791488089304,0.10709658128177016,0.37790292036280276,red
Florida,HARDEE COUNTY,2020,8485,2298,6122,20079,0.3048956621345685,0.11444793067383834,0.4225808058170228,red
Florida,HENDRY COUNTY,2012,10185,4751,5355,27226,0.19668699037684567,0.17450231396459268,0.3740909424814515,red
Florida,HENDRY COUNTY,2016,11115,4615,6195,29269,0.21165738494653047,0.15767535617889233,0.3797533226280365,red
Florida,HENDRY COUNTY,2020,12940,4929,7906,30800,0.2566883116883117,0.16003246753246753,0.42012987012987013,red
Florida,HERNANDO COUNTY,2012,83667,37830,44938,139478,0.3221870115717174,0.27122556962388333,0.5998580421285077,red
Florida,HERNANDO COUNTY,2016,93796,31795,58970,148492,0.397125771085311,0.21411927915308568,0.631656924278749,red
Florida,HERNANDO COUNTY,2020,108922,37519,70412,158562,0.4440660435665544,0.23662037562593813,0.6869363403589763,red
Florida,HIGHLANDS COUNTY,2012,42444,16148,25915,80533,0.3217935504699937,0.20051407497547588,0.5270386052922404,red
Florida,HIGHLANDS COUNTY,2016,45686,14937,29565,84435,0.3501510037306804,0.176905311778291,0.5410789364599988,red
Florida,HIGHLANDS COUNTY,2020,52170,16938,34873,88350,0.3947142048670062,0.19171477079796265,0.5904923599320883,red
Florida,HILLSBOROUGH COUNTY,2012,542102,286467,250186,981053,0.25501782268643997,0.29199951480704917,0.5525715736050958,blue
Florida,HILLSBOROUGH COUNTY,2016,597660,307896,266870,1079573,0.247199587244216,0.2852016491705517,0.5536077689975574,blue
Florida,HILLSBOROUGH COUNTY,2020,712063,376367,327398,1146730,0.28550574241538984,0.3282089070661795,0.6209508777131496,blue
Florida,HOLMES COUNTY,2012,8274,1264,6919,15625,0.442816,0.080896,0.529536,red
Florida,HOLMES COUNTY,2016,8514,853,7483,15479,0.48342916209057435,0.055106919051618325,0.5500355320111119,red
Florida,HOLMES COUNTY,2020,9068,924,8080,15624,0.5171530977982591,0.05913978494623656,0.5803891449052739,red
Florida,INDIAN RIVER COUNTY,2012,71464,27492,43450,114873,0.37824379967442306,0.2393251677939986,0.6221131162240039,red
Florida,INDIAN RIVER COUNTY,2016,80009,29043,48620,125738,0.38667705864575547,0.23098029235394232,0.6363151950881992,red
Florida,INDIAN RIVER COUNTY,2020,97484,37844,58872,134897,0.4364218626062848,0.28053996753078275,0.7226550627515809,red
Florida,JACKSON COUNTY,2012,20941,7342,13418,39819,0.3369748110198649,0.184384339134584,0.525904718852809,red
Florida,JACKSON COUNTY,2016,21041,6397,14257,39266,0.36308765853410074,0.16291448072123466,0.5358579941934498,red
Florida,JACKSON COUNTY,2020,22419,6766,15488,37647,0.4114006428135044,0.17972215581586845,0.5955056179775281,red
Florida,JEFFERSON COUNTY,2012,7808,3945,3808,11656,0.3266986959505834,0.338452299245024,0.6698695950583391,blue
Florida,JEFFERSON COUNTY,2016,7645,3541,3930,11490,0.34203655352480417,0.3081810269799826,0.665361183637946,red
Florida,JEFFERSON COUNTY,2020,8451,3897,4479,11888,0.3767664872139973,0.32780955585464333,0.7108849259757739,red
Florida,LAFAYETTE COUNTY,2012,3399,687,2668,6995,0.3814152966404575,0.09821300929235167,0.48591851322373125,red
Florida,LAFAYETTE COUNTY,2016,3392,518,2809,6967,0.40318645040907136,0.07435050954499785,0.4868666570977465,red
Florida,LAFAYETTE COUNTY,2020,3658,510,3128,6744,0.4638196915776987,0.07562277580071175,0.5424080664294187,red
Florida,LAKE COUNTY,2012,150811,61799,87643,242179,0.3618934754871397,0.25517902047658964,0.6227253395215935,red
Florida,LAKE COUNTY,2016,170462,62838,102188,269170,0.3796411189954304,0.23345097893524538,0.6332875134673255,red
Florida,LAKE COUNTY,2020,211314,83505,125859,297740,0.4227144488479882,0.28046281990998856,0.7097266071068717,red
Florida,LEE COUNTY,2012,266166,110157,154163,521356,0.29569622292636893,0.21128940685443343,0.5105263965505336,red
Florida,LEE COUNTY,2016,326420,124908,191551,591528,0.32382406242815215,0.21116160181766544,0.5518251037989749,red
Florida,LEE COUNTY,2020,393899,157695,233247,637068,0.3661257510972141,0.24753244551602027,0.6182997733365982,red
Florida,LEON COUNTY,2012,148353,90881,55805,229964,0.2426684176653737,0.39519663947400463,0.6451140178462715,blue
Florida,LEON COUNTY,2016,152132,92068,53821,232906,0.2310846435901179,0.3953011086017535,0.6531905575639958,blue
Florida,LEON COUNTY,2020,162929,103517,57453,238914,0.24047565232677867,0.4332814318122839,0.681956687343563,blue
Florida,LEVY COUNTY,2012,18399,6119,12054,31647,0.38088918380889186,0.19335166050494518,0.581382121528107,red
Florida,LEVY COUNTY,2016,19395,5101,13775,31965,0.4309400907242296,0.15958079149069296,0.6067573908962928,red
Florida,LEVY COUNTY,2020,23145,6205,16749,33437,0.5009121631725334,0.18557286837934026,0.6921972665011813,red
Florida,LIBERTY COUNTY,2012,3284,942,2301,6634,0.3468495628580042,0.14199577931866145,0.4950256255652698,red
Florida,LIBERTY COUNTY,2016,3296,651,2543,6770,0.37562776957163957,0.09615952732644018,0.48685376661742985,red
Florida,LIBERTY COUNTY,2020,3561,694,2846,6902,0.4123442480440452,0.10055056505360765,0.5159374094465372,red
Florida,MADISON COUNTY,2012,8715,4176,4474,15108,0.29613449827905747,0.2764098490865767,0.5768467037331215,red
Florida,MADISON COUNTY,2016,8505,3526,4851,14763,0.3285917496443812,0.238840344103502,0.5761024182076814,red
Florida,MADISON COUNTY,2020,9380,3747,5576,15088,0.3695652173913043,0.24834305408271473,0.6216861081654295,red
Florida,MANATEE COUNTY,2012,153491,66503,85627,266817,0.3209203311633067,0.24924573771536296,0.5752669432607368,red
Florida,MANATEE COUNTY,2016,178958,71224,101944,304163,0.3351623964782041,0.23416391868833486,0.5883621610781061,red
Florida,MANATEE COUNTY,2020,216958,90166,124987,330760,0.37787821985729836,0.27260249123231345,0.6559378401257709,red
Florida,MARION COUNTY,2012,161385,66831,93043,270638,0.34379133750618907,0.24693871518412047,0.5963131563195117,red
Florida,MARION COUNTY,2016,174700,62041,107833,282224,0.38208302624865353,0.21982893021146324,0.6190118487442599,red
Florida,MARION COUNTY,2020,204376,74858,127826,298065,0.42885276701390634,0.2511465619915119,0.685675943166759,red
Florida,MARTIN COUNTY,2012,78873,30107,48183,123220,0.3910322999513066,0.24433533517286155,0.6400990099009901,red
Florida,MARTIN COUNTY,2016,85792,30185,53204,131941,0.4032408424977831,0.2287764985864894,0.6502300270575484,red
Florida,MARTIN COUNTY,2020,98726,36893,61168,134916,0.4533783984108631,0.27345162916184884,0.7317590204275253,red
Florida,MIAMI-DADE COUNTY,2012,878314,541440,332981,2028565,0.1641460835615324,0.26690788808837773,0.4329730622385775,blue
Florida,MIAMI-DADE COUNTY,2016,980204,624146,333999,2136591,0.1563233206542572,0.2921223575312261,0.45877006876842596,blue
Florida,MIAMI-DADE COUNTY,2020,1156816,617864,532833,2167261,0.24585548302673282,0.2850897976754992,0.5337686600737059,blue
Florida,MONROE COUNTY,2012,39057,19404,19234,63224,0.30421991648740987,0.3069087688219663,0.617755915475136,blue
Florida,MONROE COUNTY,2016,42478,18971,21904,65262,0.3356317612086666,0.29068983481965005,0.6508841285893782,red
Florida,MONROE COUNTY,2020,48029,21881,25693,62977,0.4079743398383537,0.34744430506375346,0.7626435047715833,red
Florida,NASSAU COUNTY,2012,40528,10251,29929,58788,0.5091004967000068,0.17437232088181262,0.6893923930053752,red
Florida,NASSAU COUNTY,2016,46607,10869,34266,63967,0.5356824612690919,0.16991573780230432,0.7286100645645411,red
Florida,NASSAU COUNTY,2020,58811,15564,42566,71160,0.5981731309724564,0.21871838111298483,0.8264614952220348,red
Florida,OKALOOSA COUNTY,2012,94798,23421,70168,147171,0.47677871319757287,0.15914140693479015,0.6441350537809759,red
Florida,OKALOOSA COUNTY,2016,100855,23780,71893,155689,0.461773150318905,0.15274039912903287,0.6477978534128936,red
Florida,OKALOOSA COUNTY,2020,116373,34248,79798,163900,0.4868700427089689,0.20895668090298963,0.7100244051250763,red
Florida,OKEECHOBEE COUNTY,2012,12324,4856,7328,30556,0.23982196622594582,0.15892132478073046,0.4033250425448357,red
Florida,OKEECHOBEE COUNTY,2016,13653,3959,9356,31844,0.29380731063936694,0.12432483356362266,0.42874638864464265,red
Florida,OKEECHOBEE COUNTY,2020,15954,4390,11470,33207,0.3454091004908604,0.13220104194898666,0.4804408709007137,red
Florida,ORANGE COUNTY,2012,466359,273665,188589,925437,0.2037837259586552,0.2957143490048485,0.503933817212841,blue
Florida,ORANGE COUNTY,2016,546275,329894,195216,1027167,0.1900528346412998,0.3211688070196959,0.5318268597024631,blue
Florida,ORANGE COUNTY,2020,647403,395014,245398,1087498,0.22565374832873256,0.3632319323805653,0.5953141982789854,blue
Florida,OSCEOLA COUNTY,2012,108698,67239,40592,214655,0.18910344506300808,0.3132421793109874,0.5063846637627821,blue
Florida,OSCEOLA COUNTY,2016,140206,85458,50301,254067,0.19798320915349102,0.3363600939909551,0.5518465601593281,blue
Florida,OSCEOLA COUNTY,2020,172436,97297,73480,285151,0.2576880319549993,0.34121219985200824,0.604718201935115,blue
Florida,PALM BEACH COUNTY,2012,600721,349651,247398,1084722,0.2280750275185716,0.3223415769201694,0.55380180359576,blue
Florida,PALM BEACH COUNTY,2016,662332,374673,272402,1169482,0.2329253464354304,0.3203751746499732,0.5663464679234054,blue
Florida,PALM BEACH COUNTY,2020,773158,433572,334711,1212991,0.2759385683817934,0.35744040969801094,0.6373979691522855,blue
Florida,PASCO COUNTY,2012,213573,98263,112427,372040,0.30219062466401464,0.2641194495215568,0.5740592409418342,red
Florida,PASCO COUNTY,2016,241139,90142,142101,405866,0.350118019247732,0.2220979338008111,0.5941345173037407,red
Florida,PASCO COUNTY,2020,301970,119073,179621,441832,0.40653687374386643,0.26949836136812183,0.6834498180303826,red
Florida,PINELLAS COUNTY,2012,457702,239104,213258,761664,0.27998960171414167,0.31392319973111504,0.6009237669103437,blue
Florida,PINELLAS COUNTY,2016,492403,233701,239201,799732,0.29910144898541013,0.29222414508860467,0.6157100128543062,red
Florida,PINELLAS COUNTY,2020,559715,277450,276209,819951,0.33686037336377417,0.33837387843907746,0.6826200590035258,blue
Florida,POLK COUNTY,2012,248683,114622,131577,474268,0.2774317474508084,0.24168191824031982,0.5243512107078698,red
Florida,POLK COUNTY,2016,284314,117433,157430,516535,0.3047808957766657,0.22734761439205475,0.5504254309969315,red
Florida,POLK COUNTY,2020,343256,145049,194586,565542,0.34406993645034323,0.2564778566401788,0.6069505005817428,red
Florida,PUTNAM COUNTY,2012,31324,11667,19326,56883,0.3397500131849586,0.20510521596962186,0.5506741908830406,red
Florida,PUTNAM COUNTY,2016,33117,10094,22138,56775,0.38992514310876264,0.17778952003522677,0.5833025099075297,red
Florida,PUTNAM COUNTY,2020,36373,10527,25514,58753,0.4342586761527071,0.17917382942147636,0.6190832808537436,red
Florida,SANTA ROSA COUNTY,2012,76846,17768,58186,121785,0.477776409245802,0.14589645687071479,0.6309972492507288,red
Florida,SANTA ROSA COUNTY,2016,87745,18464,65339,132035,0.4948612110425266,0.13984170863786116,0.6645586397546105,red
Florida,SANTA ROSA COUNTY,2020,106928,27612,77385,144119,0.536952102082307,0.19159167077207032,0.741942422581339,red
Florida,SARASOTA COUNTY,2012,207480,95119,110504,326988,0.3379451233684417,0.29089446707524436,0.6345186979338692,red
Florida,SARASOTA COUNTY,2016,229063,97870,124438,352736,0.3527794157670326,0.2774596298648281,0.6493893450058967,red
Florida,SARASOTA COUNTY,2020,270575,120110,148370,372818,0.3979689821843366,0.32216792107677206,0.7257562671330247,red
Florida,SEMINOLE COUNTY,2012,208620,96445,109943,335303,0.3278914891903741,0.28763536264214756,0.6221835175945339,red
Florida,SEMINOLE COUNTY,2016,224896,105914,109443,358741,0.30507524927454627,0.295238068690225,0.6269035320746723,red
Florida,SEMINOLE COUNTY,2020,260815,132528,125241,373628,0.33520239382487393,0.3547057501043819,0.6980606378536941,blue
Florida,ST. JOHNS COUNTY,2012,114795,35190,78513,156880,0.5004653238143805,0.22431157572667007,0.7317376338602753,red
Florida,ST. JOHNS COUNTY,2016,136514,43099,88684,183188,0.48411468000087343,0.23527196104548334,0.7452125685088543,red
Florida,ST. JOHNS COUNTY,2020,176622,63850,110946,207481,0.5347284811621305,0.3077390218863414,0.8512683089053937,red
Florida,ST. LUCIE COUNTY,2012,123027,65869,56202,221706,0.25349787556493736,0.2971006648444336,0.5549105572244324,blue
Florida,ST. LUCIE COUNTY,2016,140847,66881,70289,243687,0.288439678768256,0.27445452568253537,0.5779832325893461,red
Florida,ST. LUCIE COUNTY,2020,172169,84137,86831,264186,0.3286737374425594,0.3184763764923198,0.6516961534676327,red
Florida,SUMTER COUNTY,2012,60479,19524,40646,93334,0.4354897465018107,0.20918422011271348,0.6479846572524482,red
Florida,SUMTER COUNTY,2016,76665,22638,52730,113278,0.46549197549391763,0.19984463002524763,0.6767863133176786,red
Florida,SUMTER COUNTY,2020,92485,29341,62761,123025,0.5101483438325544,0.23849624060150376,0.7517577728104043,red
Florida,SUWANNEE COUNTY,2012,17629,4751,12672,34144,0.3711340206185567,0.13914597000937207,0.5163132614807873,red
Florida,SUWANNEE COUNTY,2016,18694,3964,14287,34651,0.41231133300626244,0.11439785287581888,0.5394938097024616,red
Florida,SUWANNEE COUNTY,2020,21057,4485,16410,35076,0.4678412589804995,0.12786520697913104,0.6003250085528566,red
Florida,TAYLOR COUNTY,2012,9120,2764,6249,18394,0.3397303468522344,0.15026639121452648,0.4958138523431554,red
Florida,TAYLOR COUNTY,2016,9290,2152,6930,17751,0.390400540814602,0.12123260661371191,0.5233507971381894,red
Florida,TAYLOR COUNTY,2020,10127,2299,7751,17310,0.44777585210860776,0.13281340265742345,0.5850375505488157,red
