year,state,state_po,county,dem,gop,other,total
2020,Georgia,GA,MONTGOMERY COUNTY,979,2960,27,3966
2020,Georgia,GA,MORGAN COUNTY,3355,8230,122,11707
2020,Georgia,GA,MURRAY COUNTY,2302,12943,144,15389
2020,Georgia,GA,MUSCOGEE COUNTY,49529,30049,965,80543
2020,Georgia,GA,NEWTON COUNTY,29794,23869,576,54239
2020,Georgia,GA,OCONEE COUNTY,8162,16595,411,25168
2020,Georgia,GA,OGLETHORPE COUNTY,2436,5593,102,8131
2020,Georgia,GA,PAULDING COUNTY,29704,54525,1156,85385
2020,Georgia,GA,PEACH COUNTY,5920,6502,123,12545
2020,Georgia,GA,PICKENS COUNTY,2808,14075,233,17116
2020,Georgia,GA,PIERCE COUNTY,1100,7899,49,9048
2020,Georgia,GA,PIKE COUNTY,1505,9127,88,10720
2020,Georgia,GA,POLK COUNTY,3658,13589,152,17399
2020,Georgia,GA,PULASKI COUNTY,1217,2805,37,4059
2020,Georgia,GA,PUTNAM COUNTY,3448,8291,116,11855
2020,Georgia,GA,QUITMAN COUNTY,497,604,5,1106
2020,Georgia,GA,RABUN COUNTY,1984,7474,110,9568
2020,Georgia,GA,RANDOLPH COUNTY,1671,1391,12,3074
2020,Georgia,GA,RICHMOND COUNTY,59124,26781,1111,87016
2020,Georgia,GA,ROCKDALE COUNTY,31244,13012,430,44686
2020,Georgia,GA,SCHLEY COUNTY,462,1800,13,2275
2020,Georgia,GA,SCREVEN COUNTY,2661,3916,51,6628
2020,Georgia,GA,SEMINOLE COUNTY,1254,2611,19,3884
2020,Georgia,GA,SPALDING COUNTY,11784,18057,275,30116
2020,Georgia,GA,STEPHENS COUNTY,2385,9368,132,11885
2020,Georgia,GA,STEWART COUNTY,1182,801,7,1990
2020,Georgia,GA,SUMTER COUNTY,6318,5732,100,12150
2020,Georgia,GA,TALBOT COUNTY,2114,1392,16,3522
2020,Georgia,GA,TALIAFERRO COUNTY,561,360,7,928
2020,Georgia,GA,TATTNALL COUNTY,2061,6053,69,8183
2020,Georgia,GA,TAYLOR COUNTY,1387,2418,34,3839
2020,Georgia,GA,TELFAIR COUNTY,1487,2825,21,4333
2020,Georgia,GA,TERRELL COUNTY,2376,2004,36,4416
2020,Georgia,GA,THOMAS COUNTY,8708,12954,191,21853
2020,Georgia,GA,TIFT COUNTY,5322,10784,177,16283
2020,Georgia,GA,TOOMBS COUNTY,2939,7872,103,10914
2020,Georgia,GA,TOWNS COUNTY,1550,6384,45,7979
2020,Georgia,GA,TREUTLEN COUNTY,952,2101,24,3077
2020,Georgia,GA,TROUP COUNTY,11578,18143,328,30049
2020,Georgia,GA,TURNER COUNTY,1410,2349,33,3792
2020,Georgia,GA,TWIGGS COUNTY,2044,2370,30,4444
2020,Georgia,GA,UNION COUNTY,2801,12651,108,15560
2020,Georgia,GA,UPSON COUNTY,4201,8608,96,12905
2020,Georgia,GA,WALKER COUNTY,5769,23174,411,29354
2020,Georgia,GA,WALTON COUNTY,12682,37842,571,51095
2020,Georgia,GA,WARE COUNTY,4211,9865,116,14192
2020,Georgia,GA,WARREN COUNTY,1469,1166,16,2651
2020,Georgia,GA,WASHINGTON COUNTY,4730,4663,66,9459
2020,Georgia,GA,WAYNE COUNTY,2687,9987,104,12778
2020,Georgia,GA,WEBSTER COUNTY,639,748,3,1390
