State,County,Year,Reg_Voters
Wisconsin,IOWA COUNTY,2020,15136
Wisconsin,IRON COUNTY,2020,4412
Wisconsin,JACKSON COUNTY,2020,11267
Wisconsin,JEFFERSON COUNTY,2020,52395
Wisconsin,JUNEAU COUNTY,2020,14567
Wisconsin,KENOSHA COUNTY,2020,100331
Wisconsin,KEWAUNEE COUNTY,2020,12926
Wisconsin,LA CROSSE COUNTY,2020,76830
Wisconsin,LAFAYETTE COUNTY,2020,9214
Wisconsin,LANGLADE COUNTY,2020,12200
Wisconsin,LINCOLN COUNTY,2020,18001
Wisconsin,MANITOWOC COUNTY,2020,48688
Wisconsin,MARATHON COUNTY,2020,84288
Wisconsin,MARINETTE COUNTY,2020,25527
Wisconsin,MARQUETTE COUNTY,2020,9579
Wisconsin,MENOMINEE COUNTY,2020,1789
Wisconsin,MILWAUKEE COUNTY,2020,557089
Wisconsin,MONROE COUNTY,2020,24565
Wisconsin,OCONTO COUNTY,2020,24759
Wisconsin,ONEIDA COUNTY,2020,26248
Wisconsin,OUTAGAMIE COUNTY,2020,118689
Wisconsin,OZAUKEE COUNTY,2020,66641
Wisconsin,PEPIN COUNTY,2020,4414
Wisconsin,PIERCE COUNTY,2020,25910
Wisconsin,POLK COUNTY,2020,28431
Wisconsin,PORTAGE COUNTY,2020,44977
Wisconsin,PRICE COUNTY,2020,9055
Wisconsin,RACINE COUNTY,2020,119988
Wisconsin,RICHLAND COUNTY,2020,9779
Wisconsin,ROCK COUNTY,2020,97177
Wisconsin,RUSK COUNTY,2020,8396
Wisconsin,ST. CROIX COUNTY,2020,61464
Wisconsin,SAUK COUNTY,2020,39544
Wisconsin,SAWYER COUNTY,2020,11623
Wisconsin,SHAWANO COUNTY,2020,24408
Wisconsin,SHEBOYGAN COUNTY,2020,72138
Wisconsin,TAYLOR COUNTY,2020,11294
Wisconsin,TREMPEALEAU COUNTY,2020,16714
Wisconsin,VERNON COUNTY,2020,17364
Wisconsin,VILAS COUNTY,2020,17003
Wisconsin,WALWORTH COUNTY,2020,63729
Wisconsin,WASHBURN COUNTY,2020,11278
Wisconsin,WASHINGTON COUNTY,2020,94481
Wisconsin,WAUKESHA COUNTY,2020,291183
Wisconsin,WAUPACA COUNTY,2020,31369
Wisconsin,WAUSHARA COUNTY,2020,14465
Wisconsin,WINNEBAGO COUNTY,2020,104233
Wisconsin,WOOD COUNTY,2020,45206
