,,total,total,total,dem,dem,dem,gop,gop,gop,dem_per,dem_per,dem_per,gop_per,gop_per,gop_per
Florida,MANATEE COUNTY,153491,178958,216958,66503,71224,90166,85627,101944,124987,0.433269703,0.397992825,0.415591958,0.557863327,0.569653215,0.57608846
Florida,MARION COUNTY,161385,174700,204376,66831,62041,74858,93043,107833,127826,0.414109118,0.355128792,0.366275884,0.576528178,0.617246709,0.625445258
Florida,MARTIN COUNTY,78873,85792,98726,30107,30185,36893,48183,53204,61168,0.381714909,0.351839332,0.373690821,0.610893462,0.620151063,0.619573365
Florida,MIAMI-DADE COUNTY,878314,980204,1156816,541440,624146,617864,332981,333999,532833,0.616453797,0.636751125,0.534107412,0.379113848,0.340744376,0.460603069
Florida,MONROE COUNTY,39057,42478,48029,19404,18971,21881,19234,21904,25693,0.496812351,0.446607656,0.455578921,0.492459738,0.515655163,0.534947636
Florida,NASSAU COUNTY,40528,46607,58811,10251,10869,15564,29929,34266,42566,0.252936242,0.233205313,0.264644369,0.738477102,0.735211449,0.723776164
Florida,OKALOOSA COUNTY,94798,100855,116373,23421,23780,34248,70168,71893,79798,0.247062174,0.235784046,0.294295068,0.740184392,0.712835259,0.685708884
Florida,OKEECHOBEE COUNTY,12324,13653,15954,4856,3959,4390,7328,9356,11470,0.394027913,0.2899729,0.275166103,0.594612139,0.685270636,0.718941958
Florida,ORANGE COUNTY,466359,546275,647403,273665,329894,395014,188589,195216,245398,0.586811877,0.603897304,0.610151637,0.404385892,0.357358473,0.379049834
Florida,OSCEOLA COUNTY,108698,140206,172436,67239,85458,97297,40592,50301,73480,0.618585439,0.609517424,0.564249925,0.373438334,0.35876496,0.426129115
Florida,PALM BEACH COUNTY,600721,662332,773158,349651,374673,433572,247398,272402,334711,0.582052234,0.565687601,0.560780591,0.411835111,0.411277124,0.4329141
Florida,PASCO COUNTY,213573,241139,301970,98263,90142,119073,112427,142101,179621,0.460090929,0.373817591,0.394320628,0.526410174,0.589290824,0.594830612
Florida,PINELLAS COUNTY,457702,492403,559715,239104,233701,277450,213258,239201,276209,0.522401038,0.474613274,0.495698704,0.465931982,0.485782987,0.493481504
Florida,POLK COUNTY,248683,284314,343256,114622,117433,145049,131577,157430,194586,0.460916106,0.413039808,0.422567996,0.529095274,0.553718776,0.566883026
Florida,PUTNAM COUNTY,31324,33117,36373,11667,10094,10527,19326,22138,25514,0.37246201,0.30479814,0.289417975,0.616971013,0.668478425,0.701454375
Florida,SANTA ROSA COUNTY,76846,87745,106928,17768,18464,27612,58186,65339,77385,0.231215678,0.210427945,0.258229837,0.757176691,0.744646419,0.723711282
Florida,SARASOTA COUNTY,207480,229063,270575,95119,97870,120110,110504,124438,148370,0.458449007,0.427262369,0.443906495,0.532600733,0.543247927,0.548350735
Florida,SEMINOLE COUNTY,208620,224896,260815,96445,105914,132528,109943,109443,125241,0.462299875,0.470946571,0.508130284,0.527001246,0.486638268,0.48019094
Florida,ST. JOHNS COUNTY,114795,136514,176622,35190,43099,63850,78513,88684,110946,0.306546452,0.315711209,0.361506494,0.683940938,0.649633005,0.628155043
Florida,ST. LUCIE COUNTY,123027,140847,172169,65869,66881,84137,56202,70289,86831,0.535402798,0.474848595,0.48868844,0.45682655,0.499045063,0.504335856
Florida,SUMTER COUNTY,60479,76665,92485,19524,22638,29341,40646,52730,62761,0.322822798,0.29528468,0.317251446,0.672067991,0.687797561,0.678607342
Florida,SUWANNEE COUNTY,17629,18694,21057,4751,3964,4485,12672,14287,16410,0.269499121,0.212046646,0.212993304,0.718815588,0.764255911,0.779313292
Florida,TAYLOR COUNTY,9120,9290,10127,2764,2152,2299,6249,6930,7751,0.303070175,0.231646932,0.227016886,0.685197368,0.745963402,0.765379678
Florida,UNION COUNTY,5393,5694,6245,1339,1014,1053,3980,4568,5133,0.248284814,0.178082192,0.168614892,0.737993696,0.80224798,0.82193755
Florida,VOLUSIA COUNTY,234536,260869,307439,114748,109091,130575,117490,143007,173821,0.489255381,0.418183073,0.424718399,0.50094655,0.548194688,0.565383702
Florida,WAKULLA COUNTY,14660,15351,18404,5175,4348,5351,9290,10512,12874,0.353001364,0.283238877,0.29075201,0.633697135,0.684776236,0.699521843
Florida,WALTON COUNTY,28494,33637,43711,6671,6876,10338,21490,25756,32947,0.234119464,0.204417754,0.236507973,0.754193865,0.765704433,0.753746197
Florida,WASHINGTON COUNTY,10999,11156,12327,2820,2264,2347,8038,8637,9876,0.256386944,0.202940122,0.190395068,0.730793709,0.774202223,0.801168167
,,,,,4237756,4504975,5297045,4163447,4617886,5668731,,,,,,
