state,county,year,total,dem,gop,AGE18PLUS_TOT,repturnout,demturnout,turnout,winner,dem_per,gop_per,reg_voters,turnout_reg,turnout_rep_reg,turnout_dem_reg,,,,,,
Georgia,EVANS COUNTY,2020,4247,1324,2888,7842,0.3682734,0.168834481,0.541571028,red,0.31174947,0.680009418,6148,0.690793754,0.469746259,0.215354587,,,,,,
Pennsylvania,GREENE COUNTY,2020,17668,4911,12578,29220,0.43045859,0.168069815,0.604654346,red,0.277960154,0.711908535,22812,0.774504647,0.551376469,0.215281431,,,,,,
Michigan,MENOMINEE COUNTY,2020,12606,4316,8117,18767,0.43251452,0.229978153,0.671710982,red,0.342376646,0.64389973,20053,0.62863412,0.40477734,0.215229641,,,,,,
Ohio,MADISON COUNTY,2020,19316,5558,13445,35669,0.376937957,0.155821582,0.541534666,red,0.287740733,0.696055084,25827,0.747899485,0.520579239,0.215201146,,,,,,
Michigan,WEXFORD COUNTY,2020,18265,5838,12102,25887,0.467493336,0.2255186,0.705566501,red,0.319627703,0.662578702,27347,0.667897758,0.44253483,0.213478627,,,,,,
Ohio,MUSKINGUM COUNTY,2020,39698,11755,27334,66777,0.409332555,0.176033664,0.594486125,red,0.296110635,0.688548541,55078,0.72075965,0.496278006,0.213424598,,,,,,
North Carolina,DAVIE COUNTY,2020,25311,6713,18228,33901,0.537683254,0.198017758,0.746615144,red,0.265220655,0.720161195,31481,0.804008767,0.579015914,0.213239732,,,,,,
Ohio,WASHINGTON COUNTY,2020,31382,9114,21798,48083,0.453341098,0.189547241,0.652663103,red,0.290421261,0.694602001,42774,0.733669986,0.509608641,0.213073362,,,,,,
Georgia,PULASKI COUNTY,2020,4059,1217,2805,9128,0.307296231,0.13332603,0.444675723,red,0.299827544,0.691056911,5712,0.710609244,0.491071429,0.213060224,,,,,,
North Carolina,ASHE COUNTY,2020,15814,4164,11451,22479,0.509408782,0.185239557,0.703501045,red,0.26331099,0.724105223,19545,0.809107189,0.585878741,0.213046815,,,,,,
Pennsylvania,SULLIVAN COUNTY,2020,3595,921,2619,5428,0.482498158,0.169675755,0.662306559,red,0.256189152,0.728511822,4329,0.83044583,0.604989605,0.212751213,,,,,,
