,year,state,state_po,county,total,dem,gop,AGE18PLUS_TOT
88,2012,Georgia,GA,BARROW COUNTY,25199,6028,18725,50761
89,2012,Georgia,GA,BARTOW COUNTY,35802,8396,26876,74303
90,2012,Georgia,GA,BEN HILL COUNTY,5956,2512,3396,12971
91,2012,Georgia,GA,BERRIEN COUNTY,6201,1273,4843,14460
92,2012,Georgia,GA,BIBB COUNTY,64718,38585,25623,116882
93,2012,Georgia,GA,BLECKLEY COUNTY,4907,1269,3587,10028
94,2012,Georgia,GA,BRANTLEY COUNTY,6002,939,4964,13835
95,2012,Georgia,GA,BROOKS COUNTY,6742,3138,3554,12102
96,2012,Georgia,GA,BRYAN COUNTY,13453,3707,9560,22863
97,2012,Georgia,GA,BULLOCH COUNTY,24085,9593,14174,58612
98,2012,Georgia,GA,BURKE COUNTY,9779,5405,4301,16829
99,2012,Georgia,GA,BUTTS COUNTY,9381,2968,6306,18327
100,2012,Georgia,GA,CALHOUN COUNTY,2188,1298,883,5307
101,2012,Georgia,GA,CAMDEN COUNTY,17983,6377,11343,38031
102,2012,Georgia,GA,CANDLER COUNTY,3528,1157,2344,8257
103,2012,Georgia,GA,CARROLL COUNTY,41549,12688,28280,83658
104,2012,Georgia,GA,CATOOSA COUNTY,23678,5365,17858,49045
105,2012,Georgia,GA,CHARLTON COUNTY,3764,1197,2527,10753
106,2012,Georgia,GA,CHATHAM COUNTY,108628,60246,47204,214892
107,2012,Georgia,GA,CHATTAHOOCHEE COUNTY,1490,729,735,8944
108,2012,Georgia,GA,CHATTOOGA COUNTY,7822,2232,5452,19882
109,2012,Georgia,GA,CHEROKEE COUNTY,98220,19841,76514,161450
110,2012,Georgia,GA,CLARKE COUNTY,40368,25431,13815,99011
111,2012,Georgia,GA,CLAY COUNTY,1402,862,537,2432
112,2012,Georgia,GA,CLAYTON COUNTY,96067,81479,14164,190224
113,2012,Georgia,GA,CLINCH COUNTY,2472,852,1598,4939
114,2012,Georgia,GA,COBB COUNTY,310116,133124,171722,529309
115,2012,Georgia,GA,COFFEE COUNTY,14454,5057,9248,32194
116,2012,Georgia,GA,COLQUITT COUNTY,13328,3973,9243,33435
117,2012,Georgia,GA,COLUMBIA COUNTY,58923,16451,41765,97196
118,2012,Georgia,GA,COOK COUNTY,6031,2042,3935,12385
119,2012,Georgia,GA,COWETA COUNTY,55555,15168,39653,95956
120,2012,Georgia,GA,CRAWFORD COUNTY,5133,1706,3368,9743
121,2012,Georgia,GA,CRISP COUNTY,7396,3167,4182,17733
122,2012,Georgia,GA,DADE COUNTY,6020,1411,4471,13099
123,2012,Georgia,GA,DAWSON COUNTY,10244,1241,8847,17552
124,2012,Georgia,GA,DECATUR COUNTY,10485,4591,5824,20530
125,2012,Georgia,GA,DEKALB COUNTY,306265,238224,64392,542293
126,2012,Georgia,GA,DODGE COUNTY,7733,2442,5214,16822
127,2012,Georgia,GA,DOOLY COUNTY,4298,2285,1985,11448
128,2012,Georgia,GA,DOUGHERTY COUNTY,37919,26295,11449,70694
129,2012,Georgia,GA,DOUGLAS COUNTY,55267,28441,26241,96819
130,2012,Georgia,GA,EARLY COUNTY,5353,2765,2557,7927
131,2012,Georgia,GA,ECHOLS COUNTY,1102,173,917,2865
132,2012,Georgia,GA,EFFINGHAM COUNTY,20816,4947,15596,38622
133,2012,Georgia,GA,ELBERT COUNTY,8143,3181,4859,15190
134,2012,Georgia,GA,EMANUEL COUNTY,8083,2927,5100,17033
135,2012,Georgia,GA,EVANS COUNTY,3563,1268,2268,7878
136,2012,Georgia,GA,FANNIN COUNTY,10017,2028,7857,19300
137,2012,Georgia,GA,FAYETTE COUNTY,58568,19736,38075,80587
138,2012,Georgia,GA,FLOYD COUNTY,32829,9640,22733,73044
139,2012,Georgia,GA,FORSYTH COUNTY,81731,14571,65908,131166
140,2012,Georgia,GA,FRANKLIN COUNTY,7762,1499,6114,17038
141,2012,Georgia,GA,FULTON COUNTY,397413,255470,137124,746975
142,2012,Georgia,GA,GILMER COUNTY,11018,1958,8926,22270
143,2012,Georgia,GA,GLASCOCK COUNTY,1333,176,1135,2303
144,2012,Georgia,GA,GLYNN COUNTY,33133,11950,20893,61875
145,2012,Georgia,GA,GORDON COUNTY,16897,3440,13197,41143
146,2012,Georgia,GA,GRADY COUNTY,9396,3419,5924,18800
147,2012,Georgia,GA,GREENE COUNTY,8323,3201,5071,12892
148,2012,Georgia,GA,GWINNETT COUNTY,296728,132509,159855,598481
149,2012,Georgia,GA,HABERSHAM COUNTY,14641,2301,12166,33245
150,2012,Georgia,GA,HALL COUNTY,61364,12999,47481,133608
151,2012,Georgia,GA,HANCOCK COUNTY,4088,3308,769,7517
152,2012,Georgia,GA,HARALSON COUNTY,10376,1789,8446,21300
153,2012,Georgia,GA,HARRIS COUNTY,15488,4145,11197,25135
154,2012,Georgia,GA,HART COUNTY,9511,2870,6517,19916
155,2012,Georgia,GA,HEARD COUNTY,4172,948,3160,8795
156,2012,Georgia,GA,HENRY COUNTY,91378,43761,46774,149675
157,2012,Georgia,GA,HOUSTON COUNTY,58056,22702,34662,107519
158,2012,Georgia,GA,IRWIN COUNTY,3709,1141,2538,7404
159,2012,Georgia,GA,JACKSON COUNTY,23704,4238,19135,45118
160,2012,Georgia,GA,JASPER COUNTY,6031,1845,4136,10281
161,2012,Georgia,GA,JEFF DAVIS COUNTY,5336,1275,3996,11010
162,2012,Georgia,GA,JEFFERSON COUNTY,7298,4261,2999,12295
163,2012,Georgia,GA,JENKINS COUNTY,3390,1488,1887,7005
164,2012,Georgia,GA,JOHNSON COUNTY,3772,1305,2440,7973
165,2012,Georgia,GA,JONES COUNTY,12105,4274,7744,21405
166,2012,Georgia,GA,LAMAR COUNTY,7592,2602,4899,14187
167,2012,Georgia,GA,LANIER COUNTY,2972,1114,1820,7798
168,2012,Georgia,GA,LAURENS COUNTY,19604,7513,11950,35781
169,2012,Georgia,GA,LEE COUNTY,13628,3196,10314,20848
170,2012,Georgia,GA,LIBERTY COUNTY,16170,10457,5565,45357
171,2012,Georgia,GA,LINCOLN COUNTY,4426,1586,2807,6268
172,2012,Georgia,GA,LONG COUNTY,3802,1442,2306,11246
173,2012,Georgia,GA,LOWNDES COUNTY,39137,17470,21327,86953
174,2012,Georgia,GA,LUMPKIN COUNTY,10905,2055,8647,24582
175,2012,Georgia,GA,MCDUFFIE COUNTY,9592,4044,5475,16039
176,2012,Georgia,GA,MCINTOSH COUNTY,6341,2864,3409,11168
177,2012,Georgia,GA,MACON COUNTY,4781,3211,1545,11297
178,2012,Georgia,GA,MADISON COUNTY,11104,2494,8443,21455
179,2012,Georgia,GA,MARION COUNTY,3170,1412,1733,6621
180,2012,Georgia,GA,MERIWETHER COUNTY,9264,4331,4856,16509
181,2012,Georgia,GA,MILLER COUNTY,2775,852,1905,4583
182,2012,Georgia,GA,MITCHELL COUNTY,8275,4081,4155,17464
183,2012,Georgia,GA,MONROE COUNTY,12277,3785,8361,20582
184,2012,Georgia,GA,MONTGOMERY COUNTY,3832,1135,2662,6882
185,2012,Georgia,GA,MORGAN COUNTY,9027,2753,6186,13509
186,2012,Georgia,GA,MURRAY COUNTY,11217,2542,8443,29070
187,2012,Georgia,GA,MUSCOGEE COUNTY,70603,42573,27510,149202
188,2012,Georgia,GA,NEWTON COUNTY,43234,21851,20982,72955
189,2012,Georgia,GA,OCONEE COUNTY,17817,4421,13098,24378
190,2012,Georgia,GA,OGLETHORPE COUNTY,6273,1914,4251,11241
191,2012,Georgia,GA,PAULDING COUNTY,57399,15825,40846,102819
192,2012,Georgia,GA,PEACH COUNTY,11516,6148,5287,21683
193,2012,Georgia,GA,PICKENS COUNTY,12680,1975,10547,22933
194,2012,Georgia,GA,PIERCE COUNTY,6846,1124,5667,14076
195,2012,Georgia,GA,PIKE COUNTY,8109,1356,6668,13178
196,2012,Georgia,GA,POLK COUNTY,13608,3615,9811,30239
197,2012,Georgia,GA,PULASKI COUNTY,3682,1219,2444,9341
198,2012,Georgia,GA,PUTNAM COUNTY,9222,2926,6215,16562
199,2012,Georgia,GA,QUITMAN COUNTY,1128,612,510,1926
200,2012,Georgia,GA,RABUN COUNTY,7463,1559,5754,13086
201,2012,Georgia,GA,RANDOLPH COUNTY,3058,1770,1271,5692
202,2012,Georgia,GA,RICHMOND COUNTY,79020,52560,25845,153534
203,2012,Georgia,GA,ROCKDALE COUNTY,38085,22023,15716,63052
204,2012,Georgia,GA,SCHLEY COUNTY,1748,448,1286,3610
205,2012,Georgia,GA,SCREVEN COUNTY,6100,2774,3287,10789
206,2012,Georgia,GA,SEMINOLE COUNTY,3769,1478,2245,6843
207,2012,Georgia,GA,SPALDING COUNTY,25088,9898,14911,47907
208,2012,Georgia,GA,STEPHENS COUNTY,9498,2131,7221,19928
209,2012,Georgia,GA,STEWART COUNTY,2076,1323,745,5231
210,2012,Georgia,GA,SUMTER COUNTY,11831,6375,5378,23738
211,2012,Georgia,GA,TALBOT COUNTY,3491,2265,1202,5350
212,2012,Georgia,GA,TALIAFERRO COUNTY,963,636,323,1373
213,2012,Georgia,GA,TATTNALL COUNTY,6667,1897,4706,20031
214,2012,Georgia,GA,TAYLOR COUNTY,3538,1572,1948,6419
215,2012,Georgia,GA,TELFAIR COUNTY,4336,1805,2480,13322
216,2012,Georgia,GA,TERRELL COUNTY,4398,2544,1834,6989
217,2012,Georgia,GA,THOMAS COUNTY,18953,7653,11156,33571
218,2012,Georgia,GA,TIFT COUNTY,13927,4660,9185,30791
219,2012,Georgia,GA,TOOMBS COUNTY,9344,2746,6524,19606
220,2012,Georgia,GA,TOWNS COUNTY,6211,1273,4876,9019
221,2012,Georgia,GA,TREUTLEN COUNTY,2750,1074,1652,5159
222,2012,Georgia,GA,TROUP COUNTY,25986,10547,15179,50471
223,2012,Georgia,GA,TURNER COUNTY,3559,1510,2028,6418
224,2012,Georgia,GA,TWIGGS COUNTY,4202,2270,1907,6922
225,2012,Georgia,GA,UNION COUNTY,11079,2139,8773,17624
226,2012,Georgia,GA,UPSON COUNTY,11263,3959,7230,20482
227,2012,Georgia,GA,WALKER COUNTY,21896,5274,16247,52769
228,2012,Georgia,GA,WALTON COUNTY,37612,8148,29036,62654
229,2012,Georgia,GA,WARE COUNTY,11939,3900,7941,27453
230,2012,Georgia,GA,WARREN COUNTY,2526,1529,990,4317
231,2012,Georgia,GA,WASHINGTON COUNTY,8808,4714,4035,16034
232,2012,Georgia,GA,WAYNE COUNTY,10269,2596,7557,22888
233,2012,Georgia,GA,WEBSTER COUNTY,1187,582,601,2119
234,2012,Georgia,GA,WHEELER COUNTY,2160,772,1366,6586
235,2012,Georgia,GA,WHITE COUNTY,10488,1671,8651,21592
236,2012,Georgia,GA,WHITFIELD COUNTY,26876,7210,19305,74286
237,2012,Georgia,GA,WILCOX COUNTY,3129,1060,2053,7344
238,2012,Georgia,GA,WILKES COUNTY,4761,2087,2635,7866
239,2012,Georgia,GA,WILKINSON COUNTY,4450,2181,2246,7191
240,2012,Georgia,GA,WORTH COUNTY,8419,2487,5869,16395
241,2012,Michigan,MI,ALCONA COUNTY,6104,2472,3571,9121
242,2012,Michigan,MI,ALGER COUNTY,4618,2212,2330,7921
243,2012,Michigan,MI,ALLEGAN COUNTY,52619,20806,31123,83078
244,2012,Michigan,MI,ALPENA COUNTY,14014,6549,7298,23324
245,2012,Michigan,MI,ANTRIM COUNTY,13195,5107,7917,18629
246,2012,Michigan,MI,ARENAC COUNTY,7841,3669,4057,12537
247,2012,Michigan,MI,BARAGA COUNTY,3490,1574,1866,7013
248,2012,Michigan,MI,BARRY COUNTY,28512,11491,16655,45060
249,2012,Michigan,MI,BAY COUNTY,53381,27877,24911,83927
250,2012,Michigan,MI,BENZIE COUNTY,9901,4685,5075,13879
251,2012,Michigan,MI,BERRIEN COUNTY,72497,33465,38209,120853
252,2012,Michigan,MI,BRANCH COUNTY,17147,6913,10035,33267
253,2012,Michigan,MI,CALHOUN COUNTY,58327,29267,28333,102923
254,2012,Michigan,MI,CASS COUNTY,22490,9591,12659,40215
255,2012,Michigan,MI,CHARLEVOIX COUNTY,14090,5939,8000,20673
256,2012,Michigan,MI,CHEBOYGAN COUNTY,13311,5831,7286,20845
257,2012,Michigan,MI,CHIPPEWA COUNTY,15564,7100,8278,31356
258,2012,Michigan,MI,CLARE COUNTY,13504,6338,6988,24540
259,2012,Michigan,MI,CLINTON COUNTY,39235,18191,20650,57925
260,2012,Michigan,MI,CRAWFORD COUNTY,6814,2994,3744,11265
261,2012,Michigan,MI,DELTA COUNTY,18050,8330,9534,29280
262,2012,Michigan,MI,DICKINSON COUNTY,12810,4952,7688,20817
263,2012,Michigan,MI,EATON COUNTY,54788,27913,26197,83724
264,2012,Michigan,MI,EMMET COUNTY,17709,7225,10253,25700
265,2012,Michigan,MI,GENESEE COUNTY,202933,128978,71808,317379
266,2012,Michigan,MI,GLADWIN COUNTY,12583,5760,6661,20565
267,2012,Michigan,MI,GOGEBIC COUNTY,7576,4058,3444,13423
268,2012,Michigan,MI,GRAND TRAVERSE COUNTY,47999,20875,26534,70224
269,2012,Michigan,MI,GRATIOT COUNTY,16035,7610,8241,33269
270,2012,Michigan,MI,HILLSDALE COUNTY,19100,7106,11727,35708
271,2012,Michigan,MI,HOUGHTON COUNTY,15282,6801,8196,29206
272,2012,Michigan,MI,HURON COUNTY,15484,6518,8806,25941
273,2012,Michigan,MI,INGHAM COUNTY,127910,80847,45306,225609
274,2012,Michigan,MI,IONIA COUNTY,25761,11018,14315,48629
275,2012,Michigan,MI,IOSCO COUNTY,13344,6242,6909,21084
276,2012,Michigan,MI,IRON COUNTY,5988,2687,3224,9638
277,2012,Michigan,MI,ISABELLA COUNTY,24119,13038,10800,58397
278,2012,Michigan,MI,JACKSON COUNTY,69446,32301,36298,123721
279,2012,Michigan,MI,KALAMAZOO COUNTY,123178,69051,52662,198232
280,2012,Michigan,MI,KALKASKA COUNTY,8299,3272,4901,13331
281,2012,Michigan,MI,KENT COUNTY,292985,133408,155925,457700
282,2012,Michigan,MI,KEWEENAW COUNTY,1392,582,774,1782
283,2012,Michigan,MI,LAKE COUNTY,5287,2752,2487,9500
284,2012,Michigan,MI,LAPEER COUNTY,43115,18796,23734,67899
285,2012,Michigan,MI,LEELANAU COUNTY,14176,6576,7483,17542
286,2012,Michigan,MI,LENAWEE COUNTY,44724,21776,22351,76914
287,2012,Michigan,MI,LIVINGSTON COUNTY,98337,37216,60083,138481
288,2012,Michigan,MI,LUCE COUNTY,2596,991,1580,5363
289,2012,Michigan,MI,MACKINAC COUNTY,6099,2652,3397,9124
290,2012,Michigan,MI,MACOMB COUNTY,404086,208016,191913,659229
291,2012,Michigan,MI,MANISTEE COUNTY,12402,6473,5737,20140
292,2012,Michigan,MI,MARQUETTE COUNTY,32194,18115,13606,55427
293,2012,Michigan,MI,MASON COUNTY,14604,6856,7580,22599
294,2012,Michigan,MI,MECOSTA COUNTY,16913,7515,9176,35121
295,2012,Michigan,MI,MENOMINEE COUNTY,10923,5242,5564,18988
296,2012,Michigan,MI,MIDLAND COUNTY,41754,17450,23919,64768
297,2012,Michigan,MI,MISSAUKEE COUNTY,7027,2274,4665,11496
298,2012,Michigan,MI,MONROE COUNTY,72853,36310,35593,115639
299,2012,Michigan,MI,MONTCALM COUNTY,25431,11430,13621,48355
300,2012,Michigan,MI,MONTMORENCY COUNTY,5051,2049,2928,7995
301,2012,Michigan,MI,MUSKEGON COUNTY,76163,44436,30884,128860
302,2012,Michigan,MI,NEWAYGO COUNTY,21478,8728,12457,36464
303,2012,Michigan,MI,OAKLAND COUNTY,651607,349002,296514,944719
304,2012,Michigan,MI,OCEANA COUNTY,11450,5063,6239,19909
305,2012,Michigan,MI,OGEMAW COUNTY,10361,4791,5437,17202
306,2012,Michigan,MI,ONTONAGON COUNTY,3539,1586,1906,5502
307,2012,Michigan,MI,OSCEOLA COUNTY,10278,3981,6141,17717
308,2012,Michigan,MI,OSCODA COUNTY,4042,1657,2308,6890
309,2012,Michigan,MI,OTSEGO COUNTY,11832,4681,7011,18703
310,2012,Michigan,MI,OTTAWA COUNTY,132312,42737,88166,202212
311,2012,Michigan,MI,PRESQUE ISLE COUNTY,7080,3192,3794,10862
312,2012,Michigan,MI,ROSCOMMON COUNTY,13032,6198,6701,20399
313,2012,Michigan,MI,SAGINAW COUNTY,98062,54381,42720,153567
314,2012,Michigan,MI,ST. CLAIR COUNTY,74181,33983,39271,124165
315,2012,Michigan,MI,ST. JOSEPH COUNTY,23341,10112,12978,45467
316,2012,Michigan,MI,SANILAC COUNTY,18369,7212,10963,32614
317,2012,Michigan,MI,SCHOOLCRAFT COUNTY,4048,1865,2142,6754
318,2012,Michigan,MI,SHIAWASSEE COUNTY,33679,17197,15962,53400
319,2012,Michigan,MI,TUSCOLA COUNTY,26003,11425,14240,42567
320,2012,Michigan,MI,VAN BUREN COUNTY,32837,16290,16141,56754
321,2012,Michigan,MI,WASHTENAW COUNTY,179592,120890,56412,281258
322,2012,Michigan,MI,WAYNE COUNTY,815825,595846,213814,1357235
